name,address,cuisine,price,rating,review_count
利源冰店 Icy Bar Boundary,3618 Kingsway,Dessert,,3.9,342
Triple O's,196 SE Marine Dr,Restaurant,,4.0,303
Max's Restaurant Cuisine of the Philippines Vancouver,3546 Kingsway,Filipino,$$,3.8,790
Camy's Pizza | Best Pizza Shop in Vancouver | Indian Cuisine TakeOut | Best Butter Chicken Pizza and Shahi Paneer Pizza,5688 Fraser St,Pizza,$,3.6,182
RGK烧鹅大王,5755 Victoria Dr,Restaurant,,2.9,13
All India Sweets & Restaurant,6560 Main St,Indian,$$,3.7,537
Court6 Cafe,115-13180,Restaurant,,,
Royal Pho Restaurant Ltd,7056 Kerr St,Restaurant,$,3.2,79
Tenen Restaurant,7569 Royal Oak Ave c,Eastern European,$$,4.6,618
Mr. Waffle Bubble Tea,5881 Victoria Dr,Bubble Tea,,4.7,64
Panago Pizza,5738 Tyne St,Pizza Delivery,$$,3.8,72
Ms Tiffin,,Indian,,4.0,12
Happy Tree House BBQ Kingsway,3502 Kingsway,Chinese,,3.8,888
Fatty Cow Seafood Hotpot,5108 Victoria Dr,Hot Pot,$$,3.5,205
Sunflower Bubble Tea,5125 Joyce St,Bubble Tea,$,3.7,292
Triple O's Chevron Vancouver,196 SE Marine Dr,Restaurant,,,
Kuan Zhai Road Restaurant,3488 Kingsway,Restaurant,,3.6,330
Little Caesars Pizza,7052 Kerr St,Pizza,$,3.4,86
Tasty Wok,7180 Kerr St,Chinese Takeout,,3.4,57
Gotham Steakhouse & Cocktail Bar,615 Seymour St,Steak,$$$$,4.6,1495
Eternal Abundance Organic Market & Eatery,1025 Commercial Dr,Vegan,$$,4.4,370
Nero waffles,1002 Seymour St,Dessert,,4.5,1624
88 Noodle House,5021 Kingsway #109,Asian Fusion,,4.5,153
Uncle Mings Kitchen,8181 Main St,Delivery Restaurant,,4.7,73
Panago Pizza,8333 Granville St,Pizza,$$,4.1,64
Kozak Ukraїnian Eatery,444 6th St,Ukrainian,$,4.7,819
Subway,610 SE Marine Dr,Sandwich,$,3.6,89
Starbucks,2685 E 49th Ave,Coffee store,$$,4.1,304
Pho Hoa + Jazen Tea - Kingsway,2257 Kingsway,Pho,$,3.3,242
Little Minh's Kitchen,7533 Market Crossing,Vietnamese,,4.4,302
KFC,2190 Kingsway,Fast Food,$,3.3,477
Pizza Hut,6082 Fraser St,Pizza,$$,3.1,151
Panago Pizza,120-511 SW Marine Dr,Pizza,$$,3.9,43
The One Restaurant,5908 Kingsway,Taiwanese,$,3.9,1287
Glowbal,590 W Georgia St,Fusion restaurant,$$$,4.0,1618
Village Pub,7725 Champlain Cres,Pub,$$,4.0,135
Subway,2312 Kingsway,Sandwich,$,3.2,103
New Bhaia Sweet Shop,5740 Fraser St,Indian,$,3.4,277
A&W,Joyce-Collingwood Station,American,$,3.3,89
The Pizza King,1464 E Broadway,Pizza,,4.1,97
Zefferelli's,1136 Robson St 2nd Floor,Italian,$$,4.3,790
Jules Bistro,216 Abbott St,French,$$,4.3,475
Kazu Japanese Restaurant,4332 Hastings St,Japanese,$$,4.5,382
J.Beethoven's Pizza Gourmet Restaurant,2909 Bainbridge Ave #4,Restaurant,$,4.6,68
Incognito Coffee,School Of Music 843 Seymour Street Atrium of VSO,Coffee shop,,4.8,479
Victoria Chinese Restaurant,1055 W Georgia St,Cantonese,$$,3.6,332
Reflect social dining + lounge,6083 McKay Ave,Restaurant,,4.0,116
Purdys Chocolatier,2777 Kingsway Purdys Chocolatier Factory Store,Chocolate shop,,4.5,282
Triple O's Langara College,100 W 49th Ave,Fast Food,,3.2,22
