name,address,cuisine,region
Kyo Korean BBQ & Sushi,2-2993 Granville St.,Korean,Fairview
Joons Kitchen,3093 Oak Street,Sushi,Fairview
My Slice Pizza,1630 W Broadway,Pizza,Fairview
Old Beijing Roast Duck,1643 West Broadway,Peking Duck,Fairview
The Downlow Chicken Shack,905 Commercial Drive,Fried Chicken,Grandview-Woodland
Via Tevere,1190 Victoria Dr,Pizza,Grandview-Woodland
Biercraft Tap And Tapas,1191 Commercial Dr.,Tapas,Grandview-Woodland
Kin Kao,903 Commercial Dr,Thai,Grandview-Woodland
Pepino’s,631 Commercial Drive,Italian,Grandview-Woodland
A. Bosa And Company Ltd. Import Euro,562 Victoria Drive,Deli / Bodega,Grandview-Woodland
Havana,1212 Commercial Dr,Cuban,Grandview-Woodland
Ginger Sushi,1437 Commercial Dr.,Sushi,Grandview-Woodland
Sula Indian Restaurant,1128 Commercial Drive,Indian,Grandview-Woodland
Fets Whisky Kitchen,1230 Commercial Dr.,Cajun / Creole,Grandview-Woodland
Sunrise Pizza & Steak House,949 Commercial Dr,Pizza,Grandview-Woodland
Tandoori Palace,1439 Commercial Dr,Indian,Grandview-Woodland
Uprising Breads Bakery,1697 Venables St,Bakery,Grandview-Woodland
Fujiya,912 Clark Dr.,Sushi,Grandview-Woodland
Absinthe Bistro,1260 Commercial Dr,French,Grandview-Woodland
Mr. Red Cafe,2234 E Hastings St,Vietnamese,Grandview-Woodland
Famoso Neapolitan Pizzeria,1380 Commercial Dr,Pizza,Grandview-Woodland
Tacofino Commissary,2327 E Hastings St,Mexican,Grandview-Woodland
Black Rook Bakehouse,2141 East Hastings,Café,Grandview-Woodland
Eternal Abundance,1025 Commercial Dr,Vegetarian / Vegan,Grandview-Woodland
The Red Wagon,2296 E Hastings St,Breakfast,Grandview-Woodland
La Grotta Del Formaggio,1791 Commercial Dr,Sandwiches,Grandview-Woodland
Yolks,1598 E Hastings St,Breakfast,Grandview-Woodland
Scandilicious Commissary,25 Victoria Drive,Bakery,Grandview-Woodland
Joes Cafe,1150 Commercial drive,Café,Grandview-Woodland
Bistro Wagon Rouge,1869 Powell St,French,Grandview-Woodland
La Mezcaleria,1622 Commercial Dr,Mexican,Grandview-Woodland
Volcano Sushi & Grill,1991 E. Hastings St.,Sushi,Grandview-Woodland
Fratelli Bakery,1795 Commercial Street,Bakery,Grandview-Woodland
Kishimoto Japanese Kitchen & Sushi Bar,2054 Commercial Drive,Sushi,Grandview-Woodland
Jackalope's Neighbourhood Dive,2257 E Hastings St,Southern / Soul,Grandview-Woodland
Sopra Sotto Pizzeria,1550 Commercial Dr,Italian,Grandview-Woodland
East Cafe,2401 E Hastings St,Café,Grandview-Woodland
Truck Stop Cafe,1049 Clark Dr,Diner,Grandview-Woodland
Rinconcito Salvadorean,2062 Commercial Dr,Latin American,Grandview-Woodland
Roundel Cafe,2465 E Hastings St,Café,Grandview-Woodland
Cafe Du Soleil,1393 Commercial Dr,Vegetarian / Vegan,Grandview-Woodland
Marcello Pizzeria & Ristorante,1404 Commercial Dr,Italian,Grandview-Woodland
Tatsu Japanese Bistro,1441 Commercial Dr.,Japanese,Grandview-Woodland
What's Up? Hot Dog!,2481 E Hastings St,Hot Dogs,Grandview-Woodland
Babylon Café,1605 Commercial Dr,Middle Eastern,Grandview-Woodland
Aleph Eatery,1889 Powell St,Middle Eastern,Grandview-Woodland
Yama Cafe,,Café,Grandview-Woodland
Cannibal Cafe,1818 Commercial Dr,Burgers,Grandview-Woodland
Pizza Garden,1042 Commercial Dr.,Pizza,Grandview-Woodland
Far Out Coffee Post,2173 Dundas St,Café,Grandview-Woodland
Tamam Fine Palestinian Cuisine,2616 E Hastings St,Middle Eastern,Grandview-Woodland
"J, N & Z Deli",1729 Commercial Dr.,Deli / Bodega,Grandview-Woodland
Siddhartha's,2066 Commercial Drive,Indian,Grandview-Woodland
Koko,2053 Hastings Street East,Japanese,Grandview-Woodland
Union Market,Union St,Deli / Bodega,Grandview-Woodland
Sushi Nanaimo,350 Nanaimo St,Sushi,Grandview-Woodland
Lombardo’s Pizzeria & Ristorante,1641 Commercial Dr,Italian,Grandview-Woodland
The Daily Catch,1418 Commercial Drive,Seafood,Grandview-Woodland
Deserts,905 Commercial Dr.,Indian,Grandview-Woodland
Fire Pizza,1918 Commercial Dr,Pizza,Grandview-Woodland
Café Deux Soleils,2096 Commercial Dr.,Vegetarian / Vegan,Grandview-Woodland
Cabrito,2270 Commercial Dr,Tapas,Grandview-Woodland
Five Elements Cafe,1046 Commercial Dr,Asian,Grandview-Woodland
Belgian Fries,1885 Commercial Dr,Diner,Grandview-Woodland
X-site East Van,2270 Hastings Street East,Latin American,Grandview-Woodland
Curry Zone,,Indian,Grandview-Woodland
Livia Bakery,1399 Commercial Dr,Bakery,Grandview-Woodland
Le Petit Saigon,2783 E Hastings,Vietnamese,Grandview-Woodland
Tangent Cafe,2095 Commercial Dr,Gastropub,Grandview-Woodland
Carthage Cafe,1851 Commercial Dr,French,Grandview-Woodland
Sake Maki,1414 Commercial Dr,Japanese,Grandview-Woodland
Memphis Blues Barbeque House,1342 Commercial Dr,BBQ,Grandview-Woodland
Vera's on the Drive,1438 Commercial Dr,Burgers,Grandview-Woodland
Harambe Ethiopian Cuisine,2149 Commercial Drive,Ethiopian,Grandview-Woodland
Addis Cafe,2017 Commercial Drive,Ethiopian,Grandview-Woodland
Bao Chau,2717 E. Hastings St.,Vietnamese,Grandview-Woodland
Pig on the Street,Howe St,Food Truck,Grandview-Woodland
Take Thai Home,1736 Commercial Dr.,Thai,Grandview-Woodland
Jamjar,2280 Commercial Dr,Lebanese,Grandview-Woodland
On Lok Restaurant & Won-Tun House 安樂麵家,2010 E Hastings St.,Chinese,Grandview-Woodland
Saloniki Greek Taverna,1815 Commercial Drive,Greek,Grandview-Woodland
Bai Bua Thai Cuisine,1-2443 E Hastings St,Thai,Grandview-Woodland
The Drive Coffee Bar,1670 Commercial Drive,Café,Grandview-Woodland
Song Huong,1613 Nanaimo St.,Vietnamese,Grandview-Woodland
Santa Barbara Market,1322 Commercial Dr,Deli / Bodega,Grandview-Woodland
Uncle Fatih's Pizza,1685 Broadway East,Pizza,Grandview-Woodland
reLiSH Gourmet Burgers,2290 Commercial Dr,Burgers,Grandview-Woodland
Pink Pearl,1132 E Hastings St,Chinese,Grandview-Woodland
Le Pho Vietnamese Cuisine,2503 E Hastings St,Vietnamese,Grandview-Woodland
James on Hastings,2683 E Hastings St.,Chinese,Grandview-Woodland
Pelican Seafood Restaurant,1891 E Hastings St,Asian,Grandview-Woodland
Euro Cafe,1468 Commercial Dr.,Breakfast,Grandview-Woodland
The Charlatan,1447 Commercial Dr,Gastropub,Grandview-Woodland
Axum Ethiopian,1279 E Hastings St,Ethiopian,Grandview-Woodland
Bon's Off Broadway,2451 Nanaimo Street,Breakfast,Grandview-Woodland
Kojima Sushi,1836 Commercial Dr,Sushi,Grandview-Woodland
Laksa King Restaurant,2546 East Hastings Street,Malay,Grandview-Woodland
Italia Bakery,2828 E. Hastings St,Bakery,Grandview-Woodland
Cindys Palace 頭啖湯,1796 Nanaimo St,Asian,Grandview-Woodland
Church's Chicken,2304 East Hastings Street,Fried Chicken,Grandview-Woodland
Neptune Express,2450 Commercial Dr,Chinese,Grandview-Woodland
Subway,,Sandwiches,Grandview-Woodland
East Village Bakery,2166 East Hastings Street,Bakery,Grandview-Woodland
Subway,"2828 E Hastings St, Unit 108",Sandwiches,Grandview-Woodland
Le Petit Saigon,2783 E Hastings,Vietnamese,Hastings-Sunrise
Tamam Fine Palestinian Cuisine,2616 E Hastings St,Middle Eastern,Hastings-Sunrise
Pig on the Street,Howe St,Food Truck,Hastings-Sunrise
Tacofino Commissary,2327 E Hastings St,Mexican,Hastings-Sunrise
Curry Zone,,Indian,Hastings-Sunrise
Roundel Cafe,2465 E Hastings St,Café,Hastings-Sunrise
Mr. Red Cafe,2234 E Hastings St,Vietnamese,Hastings-Sunrise
The Red Wagon,2296 E Hastings St,Breakfast,Hastings-Sunrise
What's Up? Hot Dog!,2481 E Hastings St,Hot Dogs,Hastings-Sunrise
East Cafe,2401 E Hastings St,Café,Hastings-Sunrise
Bao Chau,2717 E. Hastings St.,Vietnamese,Hastings-Sunrise
Green & Oak,,Malay,Hastings-Sunrise
Black Rook Bakehouse,2141 East Hastings,Café,Hastings-Sunrise
Jackalope's Neighbourhood Dive,2257 E Hastings St,Southern / Soul,Hastings-Sunrise
Sushi Nanaimo,350 Nanaimo St,Sushi,Hastings-Sunrise
Italia Bakery,2828 E. Hastings St,Bakery,Hastings-Sunrise
Far Out Coffee Post,2173 Dundas St,Café,Hastings-Sunrise
James on Hastings,2683 E Hastings St.,Chinese,Hastings-Sunrise
Volcano Sushi & Grill,1991 E. Hastings St.,Sushi,Hastings-Sunrise
Osteria Napoli Ristoranté,1660 Renfrew St.,Italian,Hastings-Sunrise
La Fontana Caffe,3701 Hastings St.,Café,Hastings-Sunrise
X-site East Van,2270 Hastings Street East,Latin American,Hastings-Sunrise
Subway,"2828 E Hastings St, Unit 108",Sandwiches,Hastings-Sunrise
Yama Cafe,,Café,Hastings-Sunrise
So Crab So Good,3853 Hastings St,Seafood,Hastings-Sunrise
Koko,2053 Hastings Street East,Japanese,Hastings-Sunrise
Bai Bua Thai Cuisine,1-2443 E Hastings St,Thai,Hastings-Sunrise
Le Pho Vietnamese Cuisine,2503 E Hastings St,Vietnamese,Hastings-Sunrise
Fortune City Seafood Resturant 百福海鮮酒家,302-2800 E 1st Ave.,Seafood,Hastings-Sunrise
Thai Son Restaurant,2800 E 1st Ave,Vietnamese,Hastings-Sunrise
Song Huong,1613 Nanaimo St.,Vietnamese,Hastings-Sunrise
Laksa King Restaurant,2546 East Hastings Street,Malay,Hastings-Sunrise
Poor Italian Trattoria,3296 E 1st Ave,Italian,Hastings-Sunrise
Baci Restaurant,3728 Hastings St,Restaurant,Hastings-Sunrise
On Lok Restaurant & Won-Tun House 安樂麵家,2010 E Hastings St.,Chinese,Hastings-Sunrise
Cindys Palace 頭啖湯,1796 Nanaimo St,Asian,Hastings-Sunrise
Hiro Sushi,,Sushi,Hastings-Sunrise
Church's Chicken,2304 East Hastings Street,Fried Chicken,Hastings-Sunrise
Vallarta's Mexican Restaurant,2991 E. Broadway,Mexican,Hastings-Sunrise
Subway,,Sandwiches,Hastings-Sunrise
East Village Bakery,2166 East Hastings Street,Bakery,Hastings-Sunrise
Roaming Dragon,100 Renfrew St,Asian,Hastings-Sunrise
Le Do,2292 E Hastings St.,Vietnamese,Hastings-Sunrise
Van Dragon Chinese Restaurant 雲龍海鮮酒家,2163 E Hastings St,Chinese,Hastings-Sunrise
SILKS Restaurant,2900 E Hastings St,Restaurant,Hastings-Sunrise
Giants Den,Pacific Coliseum,American,Hastings-Sunrise
Thai Hang Vietnamese Restaurant,2122 East Hastings Street,Vietnamese,Hastings-Sunrise
Fortune Court Seafood House,3555 E Hastings St,Seafood,Hastings-Sunrise
Penny Restaurant 錢記,2060 E Hastings St,Chinese,Hastings-Sunrise
Miyako Sushi,2341 E Hastings St,Sushi,Hastings-Sunrise
Tsolias Taverna,2277 East Hastings Street,Greek,Hastings-Sunrise
Vietnam House,2122 E Hastings St,Vietnamese,Hastings-Sunrise
J's Grill & Pasta,1901 Powell Street,Italian,Hastings-Sunrise
Little Caesars Pizza,2080 Hastings Street East,Pizza,Hastings-Sunrise
Yan Bakery,2070 E Hastings St.,Bakery,Hastings-Sunrise
Domino's Pizza,2083 Dundas St,Pizza,Hastings-Sunrise
Riz Sushi Bar & Catering,2887 E. Broadway,Japanese,Hastings-Sunrise
Basil Garden,2889 E Broadway,Vietnamese,Hastings-Sunrise
Talay Thai Restaurant,8369 Granville Street,Thai,Marpole
Cafe de l'Orangerie,1320 W 73rd Ave,Japanese,Marpole
Cravings Restaurant + Lounge,8808 Osler St,American,Marpole
Gigi Blin,1400 W 70th Ave,Café,Marpole
Red Star Seafood Restaurant 鴻星海鮮酒家,8298 Granville St,Chinese,Marpole
Penang Delight Cafe,1316 W 73rd Ave,Malay,Marpole
Ming Tak Hong Kong Style Restaurant,8363 Granville Street,Chinese,Marpole
A&W,468 S.W. Marine Drive,Fast Food,Marpole
Mirchi Restaurant,7964 Granville Street,Indian,Marpole
The Place Restaurant,8028 Granville Street,Dim Sum,Marpole
Wicks Café,1300 W 73rd Ave,Café,Marpole
Applause Japanese Restaurant,8269 Oak St,Japanese,Marpole
Subway,8347 Granville St,Sandwiches,Marpole
White Spot,1041 SW Marine Dr,Burgers,Marpole
Sushi Wow,8273 Granville,Sushi,Marpole
Donair Spot,8616 Granville St,Falafel,Marpole
Tai Tung Chinese Seafood Restaurant,8012 Granville St.,Chinese,Marpole
Pizza Hut,8155 Granville Street,Pizza,Marpole
Subway,"644 SW Marine Dr, Unit 101",Sandwiches,Marpole
Thai Son,1450 SW Marine Dr.,Vietnamese,Marpole
Ikura Japanese Restaurant,8646 Granville St.,Sushi,Marpole
Sushi King House,8176 Granville St.,Sushi,Marpole
Parm'z Pizza Factory,8319 Oak St.,Pizza,Marpole
G8 Taiwanese Kitchen,,Taiwanese,Marpole
Dublin Crossing Irish Pub,466 SW Marine Drive,Irish,Marpole
Cafe Mai-Mai,8636 Granville St,Vietnamese,Marpole
Denny's,622 SW Marine Dr,Breakfast,Marpole
Subway,474 South West Marine Drive,Sandwiches,Marpole
Pink Elephant Thai,434 South West Marine Drive,Thai,Marpole
Wang's Beef Noodle House,8390 Granville Street,Noodles,Marpole
FreshSlice Pizza,498 SW Marine Drice,Pizza,Marpole
Neptune Palace (Neptune Palace Seafood Restaurant),308 - 470 SW Marine Drive,Dim Sum,Marpole
Freshslice Pizza,8618 Granville St,Pizza,Marpole
Oriole Cafe,1200 west 73rd avenue,Café,Marpole
Gold Train Express,8178 Granville st,Vietnamese,Marpole
Jasmine Flower Shanghai Cuisine,,Shanghai,Marpole
Papa's Eatery,8091 Granville St.,Sandwiches,Marpole
Panago Pizza,8333 Granville St,Pizza,Marpole
Sakuranbo,8051 Granville St,Japanese,Marpole
The Meat Up,7994 Granville St,Chinese,Marpole
South West Seafood Restaurant,8012 Granville St,Chinese,Marpole
Golden Pair Vietnamese Asian Cuisine,8167 Granville Street,Vietnamese,Marpole
Bubbletopia,7974 Granville Street,Café,Marpole
Sushi Hoon,7974 Granville St.,Japanese,Marpole
Drew Cooks! Catering Kitchen,1312 SW Marine Dr,Restaurant,Marpole
Qoo Cafe,7994 Granville St,Restaurant,Marpole
East is East,4433 Main St,Middle Eastern,Riley Park
Pho Tan,4589 Main St,Vietnamese,Riley Park
Sawasdee Thai Restaurant,4250 Main St,Thai,Riley Park
Meet on Main,4288 Main St.,Vegetarian / Vegan,Riley Park
Trilussa Pizza & Pane,4363 Main St.,Pizza,Riley Park
Trafiq Café & Bakery,4216 Main St,Café,Riley Park
Hawker's Delight,4127 Main St,Malay,Riley Park
Matchstick Coffee Roasters,4807 Main St,Café,Riley Park
The Acorn,3995 Main St,Vegetarian / Vegan,Riley Park
Long's Noodle House 小龍記麵家,4853 Main St,Chinese,Riley Park
Grub,4328 Main St.,Restaurant,Riley Park
Au Petit Cafe,4851 Main Street,Vietnamese,Riley Park
Seasons in the Park,West 33rd Avenue,Seafood,Riley Park
Pho Bon Vietnamese Restaurant,4909 Main St,Vietnamese,Riley Park
Liberty Bakery + Cafe,3699 Main St,Bakery,Riley Park
Zakkushi Charcoal Grill,4075 Main St.,Japanese,Riley Park
