name,rating,review_count,lat,lng,region
The Flying Pig Gastown,4.2,2334,49.2837739,-123.1067002,Downtown
The Flying Pig Olympic Village,4,774,49.2694598,-123.1074993,Mount Pleasant
The Flying Pig Yaletown,4.2,1761,49.2751066,-123.1220961,Downtown
The Keg Steakhouse + Bar - Alberni,4.4,1489,49.2859529,-123.1243852,West End
The Keg Steakhouse + Bar - Dunsmuir,4.3,1874,49.2833746,-123.1164458,Downtown
The Keg Steakhouse + Bar - Granville Island,4.2,1400,49.2712624,-123.1357429,Fairview
The Keg Steakhouse + Bar - Park Royal,4.3,347,49.2782097,-123.1000098,Downtown
The Keg Steakhouse and Bar,4.4,1676,49.2766534,-123.119436,Downtown
The Meat Up Vancouver 聚点串吧温哥华,3.9,341,49.2132843,-123.1400589,Marpole
The Old Spaghetti Factory (Gastown),4.4,4981,49.2838051,-123.1053723,Downtown
Tim Hortons,3.7,57,49.2443788,-123.1241862,South Cambie
Tim Hortons,3.2,372,49.2638715,-123.1404594,Fairview
Tim Hortons,3.4,47,49.2570516,-123.1531866,Arbutus-Ridge
Tim Hortons,2.3,3,49.2798529,-123.1099283,Downtown
Tim Hortons,3.7,322,49.2347554,-123.158236,Arbutus-Ridge
Tim Hortons,3.1,51,49.273166,-123.1005314,Downtown
Tim Hortons,3.6,296,49.2639532,-123.1741984,Kitsilano
Tim Hortons,4,378,49.2255285,-123.1018874,Sunset
Tim Hortons,3.8,248,49.2799468,-123.1173288,Downtown
Tim Hortons,3.1,7,49.26081,-123.03302,Renfrew-Collingwood
